work_id,sanctioned_work_description,original_work_category,ai_work_category,effective_work_category,old_peer_median,new_peer_median,old_ratio,new_ratio,old_level,new_level,financial_explanation
WS/MP18180/2025-2026/178537,Construction of Two Classroom Building at Lalapettai Govt. Higher Secondary School in Kallapalli Pt. Krishnarayapuram Union,Normal/Others,School / Education Infrastructure,School / Education Infrastructure,599049.0,400000.0,7.467730573407896,11.1838320404199,HIGH,CRITICAL,Sanction amount is 11.2x the peer median for 'School / Education Infrastructure' in TAMIL NADU (997 comparable works) | Description-based classification: School / Education Infrastructure (92% confidence) | Sanction amount is at the 98.7th percentile within comparable work-category/state projects | Single vendor payment captures 96.4% of total project disbursals
WS/MP18180/2025-2026/162520,Construction of 2 Classroom Building @ Nehru Higher Secondary School in Eraiyur Pt.,Normal/Others,School / Education Infrastructure,School / Education Infrastructure,599049.0,400000.0,7.261497370837159,10.874972812567968,HIGH,CRITICAL,Sanction amount is 10.9x the peer median for 'School / Education Infrastructure' in TAMIL NADU (997 comparable works) | Description-based classification: School / Education Infrastructure (92% confidence) | Sanction amount is at the 98.6th percentile within comparable work-category/state projects
WS/MP353/2025-2026/183379,"Construction of new building for  Govt.Vocational Higher Secondary School -Thodupuzha ,Ward 7- V.H.S,Thodupuzha Municipality, Idukki Dist",Normal/Others,School / Education Infrastructure,School / Education Infrastructure,255470.0,986796.0,33.964277745810676,8.792981737885299,HIGH,CRITICAL,Sanction amount is 8.8x the peer median for 'School / Education Infrastructure' in KERALA (287 comparable works) | Description-based classification: School / Education Infrastructure (92% confidence) | Sanction amount is at the 100.0th percentile within comparable work-category/state projects | Single vendor payment captures 95.4% of total project disbursals
WS/MP858/2024-2025/139546,"Construction of CC ROAD FROM FARING HOUSE TO CHARKALGRAM HIGH SCHOOL AT KHALA.EXECUTING AGENCY WILL BE ,EO NANOOR PANCHAYAT SAMITI.",Normal/Others,Roads,Roads,350000.0,349818.0,14.351761852108995,14.359228629662768,HIGH,CRITICAL,Sanction amount is 14.4x the peer median for 'Roads' in WEST BENGAL (1023 comparable works) | Description-based classification: Roads (98% confidence) | Sanction amount is at the 99.4th percentile within comparable work-category/state projects
WS/MP243/2025-2026/141110,2 storied building for skill development centre,Normal/Others,Other / Unclassified,Other / Unclassified,350000.0,448000.0,27.20776226353639,21.256077553398317,HIGH,CRITICAL,Sanction amount is 21.3x the peer median for 'Other / Unclassified' in WEST BENGAL (1061 comparable works) | Sanction amount is at the 100.0th percentile within comparable work-category/state projects | Single vendor payment captures 100.0% of total project disbursals
WS/MP18241/2025-2026/197044,"construction of big size RCC puliya on west side of rapta pul in kandi nirmalpurva,golak gondor block reausa vidhansabha sweta.",Normal/Others,Other / Unclassified,Other / Unclassified,231884.0,241000.0,17.24122302003148,16.589063945792756,HIGH,CRITICAL,Sanction amount is 16.6x the peer median for 'Other / Unclassified' in UTTAR PRADESH (5899 comparable works) | Sanction amount is at the 99.1th percentile within comparable work-category/state projects
WS/MP18009/2024-2025/154261,construction of community hall at survey no:782-2a & 782-2c of somandepalli village,Normal/Others,Community Buildings,Community Buildings,497329.0,1000000.0,16.012012144853518,7.963246036753963,HIGH,CRITICAL,Sanction amount is 8.0x the peer median for 'Community Buildings' in ANDHRA PRADESH (210 comparable works) | Description-based classification: Community Buildings (98% confidence) | Sanction amount is at the 99.0th percentile within comparable work-category/state projects | Single vendor payment captures 100.0% of total project disbursals
WS/MP823/2024-2025/137367,"Construction of Chapra Bus Stand at Karimpur Krishnagar Road under Chapra GP, Chapra Block , Nadia.",Normal/Others,Roads,Roads,350000.0,349818.0,25.142785306327696,25.155866319439482,HIGH,CRITICAL,Sanction amount is 25.2x the peer median for 'Roads' in WEST BENGAL (1023 comparable works) | Description-based classification: Roads (92% confidence) | Sanction amount is at the 100.0th percentile within comparable work-category/state projects
WS/MP18155/2024-2025/165824,Construction of New Link Road From Village Kukanet Upto Himachal Boundary Via Ghungrian Wala Mandir,Normal/Others,Roads,Roads,240862.0,400000.0,19.02953961380536,11.458751353121617,HIGH,CRITICAL,Sanction amount is 11.5x the peer median for 'Roads' in PUNJAB (94 comparable works) | Description-based classification: Roads (92% confidence) | Sanction amount is at the 100.0th percentile within comparable work-category/state projects
WS/MP18098/2025-2026/235723,GRAM PANCHAYAT IMALIYA RYT KE GRAM IMALIYA MEIN SE TENDANI KI OR GREWAL ROAD NIRMAN.,Normal/Others,Roads,Roads,239800.5,500000.0,10.425289249650232,4.99999000002,HIGH,CRITICAL,Sanction amount is 5.0x the peer median for 'Roads' in MADHYA PRADESH (639 comparable works) | Description-based classification: Roads (92% confidence) | Sanction amount is at the 99.5th percentile within comparable work-category/state projects
